restaurant_id,state,chain,period,post,fte,wage_st,treated
379,PA,BK,after,1,34.0,5.05,1
380,PA,BK,before,0,20.5,4.5,1
380,PA,BK,after,1,25.0,5.05,1
381,PA,BK,before,0,24.0,5.0,1
381,PA,BK,after,1,27.5,5.05,1
383,PA,BK,before,0,10.0,4.5,1
383,PA,BK,after,1,10.0,5.05,1
384,PA,BK,before,0,,4.65,1
384,PA,BK,after,1,18.0,5.05,1
385,PA,BK,before,0,26.0,4.25,1
385,PA,BK,after,1,25.0,5.05,1
386,PA,BK,before,0,12.5,4.25,1
386,PA,BK,after,1,23.0,5.05,1
391,PA,KFC,before,0,19.5,4.25,1
391,PA,KFC,after,1,17.5,5.05,1
393,PA,KFC,before,0,12.0,4.62,1
393,PA,KFC,after,1,23.0,5.25,1
396,PA,Roys,before,0,36.0,4.87,1
396,PA,Roys,after,1,26.0,5.4,1
397,PA,Roys,before,0,21.0,4.25,1
397,PA,Roys,after,1,16.5,5.05,1
398,PA,Roys,before,0,24.5,4.75,1
398,PA,Roys,after,1,35.5,5.05,1
399,PA,Roys,before,0,20.0,4.87,1
399,PA,Roys,after,1,31.0,5.05,1
400,PA,Roys,before,0,26.5,4.5,1
400,PA,Roys,after,1,23.0,5.05,1
401,PA,Roys,before,0,15.0,4.25,1
401,PA,Roys,after,1,22.5,5.05,1
402,PA,Roys,before,0,19.0,4.75,1
402,PA,Roys,after,1,21.5,5.05,1
403,PA,Roys,before,0,,5.05,1
403,PA,Roys,after,1,25.5,5.05,1
405,PA,Roys,before,0,17.5,4.32,1
405,PA,Roys,after,1,12.0,5.05,1
406,PA,Wendys,before,0,33.5,5.0,1
406,PA,Wendys,after,1,32.0,5.5,1
407,NJ,KFC,before,0,11.0,4.75,0
407,PA,Wendys,before,0,12.0,5.75,1
407,NJ,KFC,after,1,11.0,4.25,0
407,PA,Wendys,after,1,14.5,5.5,1
409,PA,BK,before,0,35.0,5.0,1
409,PA,BK,after,1,10.5,5.05,1
410,PA,BK,before,0,20.5,4.25,1
410,PA,BK,after,1,20.5,5.05,1
411,PA,BK,before,0,21.0,4.5,1
411,PA,BK,after,1,25.0,5.05,1
412,PA,KFC,before,0,10.5,4.5,1
412,PA,KFC,after,1,8.5,5.05,1
413,PA,BK,before,0,23.0,4.25,1
413,PA,BK,after,1,13.0,5.05,1
414,PA,BK,before,0,23.0,4.25,1
414,PA,BK,after,1,21.5,5.05,1
415,PA,BK,before,0,29.0,4.25,1
415,PA,BK,after,1,23.0,5.05,1
417,PA,BK,before,0,21.0,4.25,1
417,PA,BK,after,1,25.5,5.05,1
418,PA,BK,before,0,41.5,4.25,1
418,PA,BK,after,1,21.5,5.05,1
419,PA,KFC,before,0,12.0,4.25,1
419,PA,KFC,after,1,9.5,5.05,1
421,PA,KFC,before,0,33.0,4.62,1
421,PA,KFC,after,1,36.5,5.05,1
422,PA,KFC,before,0,6.5,4.75,1
422,PA,KFC,after,1,16.0,5.05,1
423,PA,KFC,before,0,9.0,4.95,1
423,PA,KFC,after,1,23.75,5.25,1
424,PA,KFC,before,0,9.75,4.75,1
424,PA,KFC,after,1,17.5,5.25,1
426,PA,Roys,before,0,24.5,4.25,1
426,PA,Roys,after,1,20.5,5.05,1
427,PA,Wendys,before,0,14.0,4.75,1
427,PA,Wendys,after,1,20.5,5.05,1
428,PA,Wendys,before,0,19.5,4.62,1
428,PA,Wendys,after,1,25.0,5.14,1
430,NJ,BK,before,0,36.5,4.25,0
430,NJ,BK,after,1,27.0,4.25,0
432,NJ,BK,before,0,52.5,4.5,0
432,NJ,BK,after,1,34.0,5.05,0
433,NJ,BK,before,0,29.0,4.25,0
433,NJ,BK,after,1,25.0,,0
434,NJ,BK,before,0,45.0,4.25,0
434,NJ,BK,after,1,37.5,4.25,0
435,NJ,BK,before,0,22.75,4.25,0
435,NJ,BK,after,1,21.0,4.25,0
438,NJ,KFC,before,0,7.5,4.25,0
438,NJ,KFC,after,1,9.5,4.25,0
440,NJ,Wendys,before,0,15.5,4.25,0
440,NJ,Wendys,after,1,18.0,,0
441,NJ,Wendys,before,0,38.0,4.25,0
441,NJ,Wendys,after,1,18.0,4.25,0
443,NJ,Wendys,before,0,17.5,4.25,0
443,NJ,Wendys,after,1,19.0,4.35,0
444,NJ,Wendys,before,0,25.0,4.25,0
444,NJ,Wendys,after,1,31.5,4.5,0
445,NJ,BK,before,0,70.5,5.0,0
445,NJ,BK,after,1,29.0,4.75,0
446,NJ,BK,before,0,,4.5,0
446,NJ,BK,after,1,23.0,5.0,0
448,NJ,BK,before,0,21.0,4.75,0
448,NJ,BK,after,1,24.5,4.5,0
449,NJ,BK,before,0,15.5,4.87,0
449,NJ,BK,after,1,27.5,5.0,0
450,NJ,BK,before,0,15.5,4.75,0
450,NJ,BK,after,1,34.5,4.75,0
451,NJ,BK,before,0,23.5,5.0,0
451,NJ,BK,after,1,36.5,5.0,0
454,NJ,KFC,before,0,8.5,4.5,0
454,NJ,KFC,after,1,14.0,5.0,0
455,NJ,KFC,before,0,11.0,5.25,0
455,NJ,KFC,after,1,11.0,5.0,0
458,NJ,KFC,before,0,9.0,5.0,0
458,NJ,KFC,after,1,8.5,5.0,0
459,NJ,Roys,before,0,18.0,4.25,0
459,NJ,Roys,after,1,15.0,4.35,0
462,NJ,Roys,before,0,15.5,5.0,0
462,NJ,Roys,after,1,17.5,4.75,0
466,NJ,Wendys,before,0,20.75,4.75,0
466,NJ,Wendys,after,1,23.0,,0
468,NJ,BK,before,0,58.0,5.0,0
468,NJ,BK,after,1,29.0,5.0,0
469,NJ,BK,before,0,26.5,5.0,0
469,NJ,BK,after,1,30.5,4.5,0
470,NJ,BK,before,0,28.5,5.5,0
470,NJ,BK,after,1,26.0,4.75,0
471,NJ,BK,before,0,39.0,4.25,0
471,NJ,BK,after,1,26.5,4.25,0
472,NJ,BK,before,0,41.5,4.25,0
472,NJ,BK,after,1,23.5,4.9,0
473,NJ,BK,before,0,22.5,4.75,0
473,NJ,BK,after,1,35.5,4.5,0
474,NJ,BK,before,0,13.5,5.0,0
474,NJ,BK,after,1,18.0,4.5,0
475,NJ,BK,before,0,32.0,4.5,0
475,NJ,BK,after,1,21.0,4.5,0
476,NJ,BK,before,0,24.0,4.25,0
476,NJ,BK,after,1,23.0,4.75,0
477,NJ,BK,before,0,26.0,4.25,0
477,NJ,BK,after,1,20.0,6.25,0
478,NJ,BK,before,0,48.5,4.5,0
478,NJ,BK,after,1,27.0,4.35,0
481,NJ,KFC,before,0,16.75,5.25,0
481,NJ,KFC,after,1,20.0,5.0,0
483,NJ,KFC,before,0,9.5,5.0,0
483,NJ,KFC,after,1,13.5,4.75,0
485,NJ,KFC,before,0,8.5,4.5,0
485,NJ,KFC,after,1,13.0,4.5,0
487,NJ,Roys,before,0,15.0,5.0,0
487,NJ,Roys,after,1,19.0,4.75,0
488,NJ,Roys,before,0,29.5,5.0,0
488,NJ,Roys,after,1,15.5,4.75,0
489,NJ,Roys,before,0,18.5,5.0,0
489,NJ,Roys,after,1,14.5,4.25,0
490,NJ,Roys,before,0,20.25,5.0,0
490,NJ,Roys,after,1,14.0,5.0,0
491,NJ,Roys,before,0,18.5,4.5,0
492,NJ,Roys,before,0,13.0,4.5,0
492,NJ,Roys,after,1,13.5,4.5,0
493,NJ,Roys,before,0,36.0,5.0,0
493,NJ,Roys,after,1,19.0,4.9,0
495,NJ,Roys,before,0,21.0,5.0,0
495,NJ,Roys,after,1,21.0,5.0,0
496,NJ,Roys,before,0,20.5,5.0,0
496,NJ,Roys,after,1,18.0,4.75,0
497,NJ,Wendys,before,0,22.5,4.5,0
497,NJ,Wendys,after,1,,,0
498,NJ,Wendys,before,0,28.0,4.75,0
498,NJ,Wendys,after,1,26.75,5.0,0
499,NJ,Wendys,before,0,19.0,5.0,0
499,NJ,Wendys,after,1,20.5,5.0,0
501,NJ,BK,before,0,24.5,4.25,0
501,NJ,BK,after,1,43.5,4.75,0
503,NJ,BK,before,0,18.5,4.75,0
503,NJ,BK,after,1,41.25,4.5,0
506,NJ,KFC,before,0,8.5,,0
506,NJ,KFC,after,1,10.5,5.0,0
509,NJ,Roys,before,0,14.0,5.0,0
509,NJ,Roys,after,1,13.5,4.25,0
510,NJ,Roys,before,0,23.5,4.25,0
510,NJ,Roys,after,1,14.25,,0
511,NJ,Roys,before,0,15.0,4.75,0
511,NJ,Roys,after,1,12.5,4.75,0
514,NJ,Roys,before,0,18.0,4.5,0
514,NJ,Roys,after,1,34.0,4.25,0
515,NJ,Roys,before,0,19.0,5.0,0
515,NJ,Roys,after,1,17.5,4.75,0
516,NJ,Roys,before,0,20.25,4.75,0
516,NJ,Roys,after,1,10.0,4.91,0
521,NJ,BK,before,0,15.5,4.25,0
521,NJ,BK,after,1,14.0,4.4,0
522,NJ,BK,before,0,21.0,4.35,0
522,NJ,BK,after,1,17.5,4.25,0
